Japan 2025,City,Name,Latitude,Longitude
,,,,
,Tokyo,Pokemon Cafe Tokyo Nihonbashi,139.774353,35.6803932
,Tokyo,Pokémon Center Mega Tokyo & Pikachu Sweets,139.7193245,35.7289056
,Tokyo,Tokyo DisneySea,139.8850779,35.6267108
,Tokyo,Tokyo International Airport (Haneda Airport),139.7779951,35.5482964
,Tokyo,ringram,139.7082341,35.6694863
,Tokyo,Sushi-Ryo,139.7646428,35.6663435
,Tokyo,MEGA Don Quijote,139.6978782,35.6605137
,Tokyo,THE FLAVOR DESIGN STORE TOKYO,139.7063339,35.6579796
,Tokyo,ART AQUARIUM MUSEUM,139.7657375,35.6713698
,Tokyo,Starbucks Reserve Roastery Tokyo,139.6925907,35.6492642
,Tokyo,サンシャインビル 1f,139.697044,35.6602788
,Tokyo,teamLab Planets TOKYO DMM,139.7897739,35.6491207
,Tokyo,Benitsuru,139.7918882,35.7119914
,Tokyo,Age.3 GINZA,139.7712752,35.6727278
,Tokyo,Henn na Hotel Tokyo Ginza,139.7739054,35.6700875
,Tokyo,Shibuya Station,139.7016358,35.6580339
,Tokyo,Shibuya Sky,139.7021636,35.6584466
,Tokyo,mofusand もふもふストア,139.7684685,35.6821567
,Tokyo,Sensō-ji,139.7966553,35.7147651
,Tokyo,Akihabara,139.7744733,35.7022589
,Tokyo,Shinjuku Golden-Gai,139.7047611,35.6941118
,Tokyo,Takeshita Street,139.7032035,35.6715615
,Tokyo,Meiji Jingu Gyoen,139.6986514,35.674009
,Tokyo,Onitsuka Tiger,139.7642999,35.6714975
,Tokyo,Nintendo Tokyo,139.6986385,35.6621161
,Tokyo,HARRY HARAJUKU terrace,139.7080074,35.6691908
,Tokyo,Kirby Café,139.8119021,35.7103764
,Tokyo,Seafood Misaki Shibuya East Exit,139.704509,35.656553
,Osaka,Universal Studios Japan,135.4323185,34.6656768
,Osaka,Kirby Café Osaka,135.5011117,34.6735239
,Osaka,Osaka Castle,135.5258546,34.6872571
,Osaka,ringram Osakaumedaten,135.4999858,34.706849
,Osaka,mipig cafe 大阪店,135.4987716,34.6717138
,Osaka,Dotonbori,135.5012971,34.6687234
,Osaka,Kansai International Airport,135.2366019,34.4319994
,Osaka,Shinsaibashi-Suji Shopping Street,135.5013394,34.6710169
,Osaka,Retreat Tengachaya 旅趣天下茶屋,135.4982929,34.6361152
,Osaka,Fukujuen Uji (Uji Tea Factory),135.8105501,34.8901729
,Kyoto,Hirobun,135.7638998,35.1252812
,Kyoto,Kichi Kichi Omurice,135.7708108,35.0072788
,Kyoto,Panel Cafe Kyoto,135.772634,35.0051395
,Kyoto,Fushimi-Inari Station,135.7693455,34.9687187
